section,component_type,item,calories,fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,allergens
BREAKFAST ALL-STAR SPECIAL™,,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy"
BREAKFAST ALL-STAR SPECIAL™,component,Classic Waffle,410,18,10,0,50,870,55,2,15,8,"Egg, Milk, Soy, Tree Nuts, Wheat"
BREAKFAST ALL-STAR SPECIAL™,,White Toast - 2 Slices,130,2,0,0,0,260,25,1,3,4,"Milk, Soy, Wheat"
BREAKFAST ALL-STAR SPECIAL™,,Wheat Toast - 2 Slices,120,2,0,0,0,250,26,4,2,6,"Milk, Soy, Wheat"
BREAKFAST ALL-STAR SPECIAL™,option,Raisin Toast - 2 Slices,220,3,0,0,0,280,42,2,16,6,"Milk, Soy, Wheat"
BREAKFAST ALL-STAR SPECIAL™,,Grilled Biscuit,300,15,9,0,0,800,34,1,2,5,"Egg, Milk, Soy, Wheat"
BREAKFAST ALL-STAR SPECIAL™,,Texas Toast - 1 Slice,100,1,0,0,0,190,19,1,2,3,"Milk, Soy, Wheat"
BREAKFAST ALL-STAR SPECIAL™,option,Grits,90,3,1,0,0,300,16,1,0,3,"Egg, Milk, Soy, Wheat"
BREAKFAST ALL-STAR SPECIAL™,,Regular Hashbrowns,190,7,3,0,0,240,29,3,0,3,Soy
BREAKFAST ALL-STAR SPECIAL™,,Sliced Tomatoes,10,0,0,0,0,0,2,0,2,0,
BREAKFAST ALL-STAR SPECIAL™,option,Bacon - 3 Slices,135,12,5,0,30,375,0,0,0,9,
BREAKFAST ALL-STAR SPECIAL™,,Sausage - 2 patties,260,24,8,0,50,510,1,0,0,10,
BREAKFAST ALL-STAR SPECIAL™,,Chicken Sausage - 2 patties,180,13,4,0,75,700,0,0,0,14,
BREAKFAST ALL-STAR SPECIAL™,,City Ham - 1 Slice,100,3,1,0,40,850,7,0,6,14,
BREAKFAST ALL-STAR SPECIAL™,,Country Ham - 1 Slice,190,9,3,0,95,2110,1,0,1,25,
BREAKFAST HASHBROWN BOWLS,,Sausage Egg & Cheese Hashbrown Bowl,920,61,22,1,413,1666,63,6,3,33,
BREAKFAST HASHBROWN BOWLS,component,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy
BREAKFAST HASHBROWN BOWLS,,Sausage,260,24,8,0,50,510,1,0,0,10,
BREAKFAST HASHBROWN BOWLS,,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy"
BREAKFAST HASHBROWN BOWLS,,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy"
BREAKFAST HASHBROWN BOWLS,,Chicken Sausage Egg & Cheese Hashbrown Bowl,840,50,18,1,438,1856,62,6,3,37,
BREAKFAST HASHBROWN BOWLS,component,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy
BREAKFAST HASHBROWN BOWLS,,Chicken Sausage,180,13,4,0,75,700,0,0,0,14,
BREAKFAST HASHBROWN BOWLS,,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy"
BREAKFAST HASHBROWN BOWLS,,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy"
BREAKFAST HASHBROWN BOWLS,,Bacon Egg & Cheese Hashbrown Bowl,795,49,19,1,393,1531,62,6,3,32,
BREAKFAST HASHBROWN BOWLS,component,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy
BREAKFAST HASHBROWN BOWLS,,Bacon,135,12,5,0,30,375,0,0,0,9,
BREAKFAST HASHBROWN BOWLS,,2 Eggs - Scrambled,180,14,4,1,338,176,2,0,2,12,"Egg, Soy"
BREAKFAST HASHBROWN BOWLS,,American Cheese (2 Slices),100,9,5,0,25,500,2,0,1,5,"Milk, Soy"
BREAKFAST HASHBROWN BOWLS,,Ham Egg & Cheese Hashbrown Bowl,800,43,16,1,413,2416,66,6,5,41,
BREAKFAST HASHBROWN BOWLS,component,Large Hashbrowns,380,14,5,0,0,480,58,6,0,6,Soy
BREAKFAST HASHBROWN BOWLS,,Diced Ham,140,6,2,0,50,1260,4,0,2,18,
